Competition Title,Competition Date,Full Name,Nation,Start Number,Rank,Gender,Qualification,Semifinal,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Nathaniel Coleman,USA,374,17,M,5.5,0.2,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Jakob Schubert,AUT,307,18,M,5.5,0.2,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,David Barrans,GBR,336,19,M,5.5,0.1,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Ryuichi Murai,JPN,310,20,M,5.5,0,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,YuFei Pan,CHN,315,21,M,4.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Tomoaki Takata,JPN,365,21,M,4.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Alexander Megos,DUE,372,23,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Meichi Narasaki,JPN,316,23,M,4.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,William Bosi,GBR,322,25,M,4.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Nathan Phillips,GBR,369,25,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Sean Bailey,USA,311,27,M,4.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Sergei Skorodumov,RUS,402,27,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Yoshiyuki Ogata,JPN,304,29,M,4.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Vadim Timonov,RUS,373,29,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Keita Dohi,JPN,312,31,M,4.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Zach Galla,USA,382,31,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Alban Levier,FRA,371,31,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Jernej Kruder,SLO,301,34,M,4.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Max Kleesattel,DUE,381,35,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Sergii Topishko,UKR,313,35,M,4.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Cheung-chi Shoji Chan,HKG,387,37,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Michael Piccolruaz,ITA,314,37,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Ram Levin,ISR,397,39,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Simon Lorenzi,BEL,327,39,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,James Pope,GBR,338,41,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Lucas Uchida,CAN,385,41,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Georg Parma,AUT,392,43,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Rudolph Ruana,USA,340,43,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Marcello Bombardi,ITA,321,45,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Nicolas Collin,BEL,398,45,M,2.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Nikolai Iarilovets,RUS,318,47,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,William Ridal,GBR,376,47,M,2.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Stefano Ghisolfi,ITA,380,49,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Jason Holowach,CAN,378,49,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Fedir Samoilov,UKR,343,49,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Hannes Puman,SWE,329,52,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Leo Avezou,FRA,384,53,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Dmitrii Fakiryanov,RUS,342,53,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Nimrod Marcus,ISR,379,55,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Nathan Smith,CAN,351,55,M,3.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Alfons Dornauer,AUT,317,57,M,3.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Florian Klingler,AUT,377,57,M,2.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Hanwool Kim,KOR,323,59,M,3.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Chia Hsiang Lin,CHN,408,59,M,2.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Kim Marschner,DUE,319,61,M,2.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Francesco Vettorata,ITA,394,61,M,2.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Nils Favre,CHE,401,63,M,1.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Fatchur Roji,IND,341,63,M,2.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Cheuk-hei Ho,HKG,332,65,M,2.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Ka-chun Yau,HKG,395,65,M,1.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Carlos Granja,ECU,346,67,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Hei-yeung Lam,HKG,404,67,M,0.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Ned Middlehurst,AUS,388,69,M,0.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Zach Richardson,CAN,324,69,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Bassa Mawem,FRA,349,71,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Ode Rifaldi Ridjaya,IND,391,71,M,0.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Chi-fung Au,HKG,347,73,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Sam Lavender,AUS,383,73,M,0.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Joshua Damasco,AUS,407,75,M,0.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Rolf Fredrik Serlachius,SWE,334,75,M,2.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Muhammad Taqiuddin Bin Mohd Zulkifli,MYS,399,77,M,0.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Aspar Jaelolo,IND,325,77,M,2.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Danny Valencia,ECU,344,79,M,1.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,QiXin Zhong,CHN,410,79,M,0.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Chase Gatland,NZL,335,81,M,1.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Hritik Marne,IND,386,81,M,0.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,John Brosler,USA,403,83,M,0.1,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Sirapob Jirajaturapak,THA,406,83,M,0.1,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Sergei Luzhetskii,RUS,330,83,M,1.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Campbell Harrison,AUS,326,86,M,1.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Kostiantyn Pavlenko,UKR,390,87,M,0.1,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Lasa Temi,IND,400,87,M,0.1,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Loic Timmermans,BEL,331,87,M,0.5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Yuval Shemla,ISR,337,90,M,0.4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Mohd Izzat Mohd Shokor,MYS,328,91,M,0.3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Alfian Muhammad,IND,409,91,M,0.1,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Ludovico Fossali,ITA,345,93,M,0.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Wan Tong Lok,MAC,405,93,M,0.1,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Jan Kriz,CZE,389,95,M,0,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Kristoffer Lindback,SWE,333,95,M,0.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,George Sanders,NZL,396,95,M,0,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Thomas Waldin,NZL,393,95,M,0,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Aliaksandr Ivanou,BLR,348,99,M,0.2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Ching Huei Chang,CHN,339,100,M,0.1,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",4/26/2019,Marcin Dzienski,POL,350,101,M,0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Janja Garnbret,SLO,201,1,F,5.5,2.3,4.4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Shauna Coxsey,GBR,202,2,F,5.5,2.3,4.4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Fanny Gibert,FRA,247,3,F,5.5,1.4,4.4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Lucka Rakovec,SLO,261,4,F,3.5,1.2,3.4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Jessica Pilz,AUT,250,5,F,3.5,1.2,3.4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Futaba Ito,JPN,204,6,F,5.5,0.3,3.3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Sol Sa,KOR,249,7,F,3.5,0.3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Petra Klingler,CHE,203,8,F,5.5,0.2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Alannah Yip,CAN,207,9,F,4.5,0.2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Emily Phillips,GBR,214,10,F,5.5,0.2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Ievgeniia Kazbekova,UKR,255,10,F,3.5,0.2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Sandra Lettner,AUT,208,12,F,5.5,0.2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,YueTong Zhang,CHN,265,13,F,3.5,0.2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Irina Kuzmenko,RUS,243,14,F,4.5,0.1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Afra Honig,DUE,212,14,F,4.5,0.1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Kyra Condie,USA,205,16,F,5.5,0.1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Natalia Grossman,USA,285,17,F,3.5,0.1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Johanna Farber,AUT,253,17,F,3.5,0.1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Katja Kadic,SLO,248,19,F,4.5,0.1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Berit Schwaiger,AUT,252,20,F,3.4,0,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Sienna Kopf,USA,230,21,F,4.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Viktoriia Meshkova,RUS,279,21,F,3.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Mao Nakamura,JPN,254,23,F,3.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Elnaz Rekabi,IRN,235,23,F,4.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Chloe Caulier,BEL,206,25,F,3.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Alex Johnson,USA,258,25,F,3.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Naile Meignan,FRA,224,27,F,3.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Sofya Yokoyama,CHE,284,27,F,2.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Mia Krampl,SLO,257,29,F,2.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Jennifer Wood,GBR,220,29,F,3.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Julia Chanourdie,FRA,262,31,F,2.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anna Zaikina,RUS,225,31,F,3.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Natsumi Hirano,JPN,288,33,F,2.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Andrea Kumin,CHE,219,33,F,3.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Hung Ying Lee,CHN,213,35,F,3.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anna Margolina,RUS,270,35,F,2.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Jain Kim,KOR,216,37,F,3.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Laura Rogora,ITA,268,37,F,2.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Valentina Aguado,ARG,221,39,F,2.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Alma Bestvater,DUE,251,39,F,2.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Maelys Agrapart,FRA,278,41,F,2.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Manon Hily,FRA,215,41,F,2.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Vanda Michalkova,SVK,283,43,F,2.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Mattea Potzi,AUT,218,43,F,2.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Sierra Blair-Coyle,USA,209,45,F,2.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Hannah Meul,DUE,259,45,F,1.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Luiza Emeleva,RUS,223,47,F,2.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Elena Krasovskaya,RUS,263,47,F,1.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anna Tsyganova,RUS,267,47,F,1.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Joanna Neame,GBR,229,50,F,2.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anne-Sophie Koller,CHE,260,51,F,1.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Julia Pinggera,AUT,210,51,F,1.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Mahya Darabian,IRN,269,53,F,1.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Tiba Vroom,NLD,238,53,F,1.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Flora Froese,AUS,281,55,F,1.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Nanako Kura,JPN,211,55,F,1.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Leonie Lochner,DUE,231,57,F,1.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Iuliia Panteleeva,RUS,256,57,F,0.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Evgeniya Lapshina,RUS,264,59,F,0.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Linda Sjodin,SWE,241,59,F,1.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,YiLing Song,CHN,275,59,F,0.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Vera Zijlstra,NLD,217,62,F,1.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Tamara Ulzhabayeva,KAZ,246,63,F,1.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Katrine Vandet Salling,DNK,266,63,F,0.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Rong Jiang,CHN,242,65,F,0.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Virgita Nadya Putri,IND,287,65,F,0.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Heloise Doumont,BEL,222,67,F,0.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anouck Jaubert,FRA,291,67,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Heeyeon Park,KOR,292,67,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Julia Meijer,NLD,233,70,F,0.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anastasiia Evgeneva,RUS,273,71,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Natalia Kalucka,POL,234,71,F,0.3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Katrin Amann,SWE,236,73,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Aliaksandra Misiukevich,BLR,272,73,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,ZhuoYing Chen,CHN,232,75,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Salsabila Salsabila,IND,280,75,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Nasim Biyarjomandy,IRN,286,77,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Iqamah Nurul,IND,244,77,F,0.2,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Nikki Van Bergen,NLD,274,77,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Wai-ping Yu,HKG,276,77,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Aleksandra Kalucka,POL,239,81,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Elena Veretennikova,BLR,245,82,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Valiantsina Chamiakina,BLR,227,83,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Andrea Rojas,ECU,282,83,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Assel Marlenova,KAZ,237,85,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Choirul Umi Cahyaning Ayub,IND,289,85,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Patrycja Chudziak,POL,290,87,F,0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Volha Rak,BLR,277,87,F,0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Hannah Sealy-Fisher,ZAF,240,87,F,0.1,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Aries Susanti Rahayu,IND,271,87,F,0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Margarita Agambayeva,KAZ,228,91,F,0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anna Brozek,POL,226,91,F,0,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Jernej Kruder,SLO,1,1,M,5.5,2.4,4.4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Adam Ondra,CZE,8,2,M,3.5,4.4,3.4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Yoshiyuki Ogata,JPN,5,3,M,5.5,2.4,3.3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Anze Peharc,SLO,10,4,M,3.5,2.4,2.3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Rei Kawamata,JPN,21,5,M,4.5,2.4,1.3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Vadim Timonov,RUS,76,6,M,4.5,2.4,1.3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Manuel Cornu,FRA,63,7,M,3.5,2.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Yuji Inoue,JPN,61,8,M,2.3,2.3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Kokoro Fujii,JPN,2,9,M,5.5,1.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Jongwon Chon,KOR,3,10,M,5.5,1.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Aleksey Rubtsov,RUS,57,11,M,3.5,1.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Jan Hojer,DUE,60,12,M,4.5,1.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Nikolai Iarilovets,RUS,79,13,M,2.4,1.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Alban Levier,FRA,11,14,M,4.5,1.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Alexander Megos,DUE,69,15,M,3.4,1.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Rei Sugimoto,JPN,56,16,M,5.5,0.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Taisei Ishimatsu,JPN,62,17,M,3.4,0.4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Mickael Mawem,FRA,7,18,M,5.5,0.3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Tomoaki Takata,JPN,59,19,M,4.5,0.3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Alex Khazanov,ISR,6,20,M,5.5,0.3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,YuFei Pan,CHN,14,21,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Tim Reuser,NLD,71,21,M,1.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Yannick Flohe,DUE,12,23,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Gregor Vezonik,SLO,58,23,M,1.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Sascha Lehmann,CHE,20,25,M,3.5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Nathan Phillips,GBR,64,25,M,1.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Zach Galla,USA,80,27,M,1.4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",4/12/2019,Jakob Schubert,AUT,4,27,M,3.4,,
